,0
feature_peristomatic_unneighbourly_dogeship,0.16892230957327933
feature_conglobate_scolopendrine_wordsworth,0.16623671818711952
feature_interoceptive_stodgy_monostich,0.16135982109256905
feature_ungodlike_argent_ugric,0.1586092592680131
feature_gradualism_intentional_souslik,0.15811319730534587
feature_untuneable_congealed_matterhorn,0.15664068477846801
feature_subcontrary_retuse_blame,0.15641189908924197
feature_skimpy_caudate_crenation,0.142029159561539
feature_megalomaniacal_heliographic_quipu,0.1411808412542327
feature_cozy_metonymical_jurist,0.1335971325921487
feature_champion_arabic_teetotum,0.13341399216662223
feature_willyard_regionalism_eritrea,0.132708109905527
feature_chimeric_piscatorial_pantagruel,0.13066566332385057
feature_tribunicial_waur_conway,0.12753888651730802
feature_veriest_petrifying_synergy,0.12643718131972656
feature_plausive_maculate_juggler,0.12603567403559893
feature_clipping_dramatic_mach,0.12586452447245072
feature_fashioned_helicoidal_buhrstone,0.1256164720658245
feature_relinquished_turanian_reviver,0.12493442600075089
feature_metaphysical_pestalozzian_sasha,0.12469226058992978
feature_invariant_dyspeptic_antiscorbutic,0.12467617127395443
feature_subversive_thrilled_pruning,0.12349498996393618
feature_novelistic_sterilized_synonymist,0.12264011236156983
feature_theophanic_finite_seignory,0.12201795244458466
feature_atherine_hellish_etymology,0.12091233668639167
feature_unconfining_persuasible_montrose,0.12036041434168007
feature_nonstick_ungorged_cornstalk,0.12027178096988961
feature_hyperalgesic_southward_rosewood,0.11793256774931944
feature_unhanging_overcast_indianisation,0.11587980069472842
feature_undebased_ahorseback_revindication,0.11382752921478911
feature_burmese_sorbian_winnie,0.11327930024128707
feature_eunuchoid_antlike_sennacherib,0.1121078500835811
feature_erythrocyte_lifeful_crayon,0.11184739569378344
feature_reclaimed_insurrectional_moneyer,0.10978670863592828
feature_retractable_aural_ithyphallic,0.1090992081319563
feature_osmotic_unproved_palmitin,0.10874921548290273
feature_heating_footling_garland,0.1080615509477057
feature_cytoid_ferric_solenoid,0.1067513817963947
feature_tarmacadam_intruding_shunning,0.10652528570303851
feature_inundant_clammy_penumbra,0.10603834170492367
feature_estranging_stylish_liker,0.10542396000283337
feature_antigenic_perforate_chickenpox,0.10525777312335606
feature_elohistic_muckiest_holystone,0.10506228447974468
feature_quadrivial_polychromatic_testudo,0.10400072530695453
feature_unprovided_stolen_trevino,0.10271727369235366
feature_dilative_uninviting_poznan,0.10175466286848994
feature_dronish_burned_interrogator,0.10145136561562881
feature_galician_leavened_valediction,0.10130960311279674
feature_winteriest_falconine_isodimorphism,0.10062024698487575
feature_brummagem_freckliest_papaverine,0.09993916531637502
feature_inhospitable_lachrymose_psychopathology,0.09971019481496268
feature_phrasal_fusiform_morphophoneme,0.09949370376842286
feature_splattered_bacterial_vichyite,0.09854857287419078
feature_burned_sortable_vicar,0.09763851848731084
feature_limiest_heliolithic_york,0.09689810738130575
feature_unnerving_unfitted_hypersensitisation,0.09651764957084856
feature_paraffinoid_southern_galen,0.09475754087643425
feature_boggy_parthia_styrene,0.09469276437738981
feature_gushier_undernourished_malate,0.09392096842280263
feature_unblocked_converging_zollverein,0.09129464348097137
feature_manifestative_resolved_centralism,0.09074457796714838
feature_ebon_homicidal_cara,0.09067768140652505
feature_omissive_unpillowed_exuberance,0.09006022957603517
feature_ablest_inflexional_egeria,0.08964892829003922
feature_overstrong_burrier_guevara,0.08963644064515296
feature_zymolytic_intertidal_privet,0.08823691007468255
feature_low_subliminal_prospect,0.08764618875145204
feature_propraetorian_daffy_narbonne,0.08706630389729195
feature_cycloid_zymotic_galloway,0.08341882397047273
feature_cephalate_unfine_molality,0.08331290999494538
feature_evolutive_incommutable_muffineer,0.0825529784389532
feature_micrometrical_perspectival_luffa,0.08196084118682984
feature_egotistical_carotid_irrationality,0.08191886348228883
feature_unshadowed_biometric_chokebore,0.08170768106032357
feature_unformed_bent_smatch,0.08089774075376142
feature_respective_clovered_datary,0.07984578837942286
feature_folkloric_judgemental_churinga,0.07943018527507012
feature_monophyletic_spiracular_gagman,0.07889944140062286
feature_australian_unstigmatized_pasch,0.07839144434874756
feature_primate_ungulate_jingal,0.07731819011822831
